Kabupaten,Tahun,Penduduk,Non Makanan,Makanan,Wilayah
Tegal,2000,1 374 382,31.94,68.06,Pantura Barat
Tegal,2001,1 391 184,33.5,66.5,Pantura Barat
Tegal,2002,1 410 057,36.46,63.54,Pantura Barat
Tegal,2003,1 429 345,37.68,62.32,Pantura Barat
Tegal,2004,1 446 284,42.19,57.81,Pantura Barat
Tegal,2005,1 471 043,45.17,54.83,Pantura Barat
Tegal,2006,1 406 796,45.56,54.44,Pantura Barat
Tegal,2007,1 410 290,43.07,56.93,Pantura Barat
Tegal,2008,1 415 625,47.43,52.57,Pantura Barat
Tegal,2009,1 420 532,46.15,53.85,Pantura Barat
Tegal,2010,1 397 193,42.72,57.28,Pantura Barat
Tegal,2011,1 403 427,41.09,58.91,Pantura Barat
Tegal,2012,1 409 406,43.02,56.98,Pantura Barat
Tegal,2013,1 415 009,43.09,56.91,Pantura Barat
Tegal,2014,1 420 132,42.15,57.85,Pantura Barat
Tegal,2015,1 424 890,45.29,54.71,Pantura Barat
Tegal,2016,1 429 371,47.9,52.09,Pantura Barat
Tegal,2017,1 433 392,43.74,56.26,Pantura Barat
Brebes,2000,1 689 011,31.94,68.06,Pantura Barat
Brebes,2001,1 711 364,33.5,66.5,Pantura Barat
Brebes,2002,1 728 808,36.46,63.54,Pantura Barat
Brebes,2003,1 763 581,37.68,62.32,Pantura Barat
Brebes,2004,1 784 094,42.19,57.81,Pantura Barat
Brebes,2005,1 814 274,40.57,59.43,Pantura Barat
Brebes,2006,1 765 564,41.31,58.69,Pantura Barat
Brebes,2007,1 775 939,36.84,63.16,Pantura Barat
Brebes,2008,1 788 687,40.94,59.06,Pantura Barat
Brebes,2009,1 800 958,40.69,59.31,Pantura Barat
Brebes,2010,1 736 782,36.46,63.54,Pantura Barat
Brebes,2011,1 736 782,48.04,51.96,Pantura Barat
Brebes,2012,1 746 613,43.62,56.38,Pantura Barat
Brebes,2013,1 764 982,42.02,57.98,Pantura Barat
Brebes,2014,1 773 373,45.09,54.91,Pantura Barat
Brebes,2015,1 781 379,42.93,57.07,Pantura Barat
Brebes,2016,1 788 880,42.72,57.28,Pantura Barat
Brebes,2017,1 796 004,45.72,54.28,Pantura Barat
Kota Tegal,2000,236 038,38.42,61.58,Pantura Barat
Kota Tegal,2001,236 900,41.79,58.21,Pantura Barat
Kota Tegal,2002,238 059,41.74,58.26,Pantura Barat
Kota Tegal,2003,242 112,44.05,55.95,Pantura Barat
Kota Tegal,2004,240 784,49.54,50.46,Pantura Barat
Kota Tegal,2005,249 612,48.02,51.98,Pantura Barat
Kota Tegal,2006,239 038,55.12,44.88,Pantura Barat
Kota Tegal,2007,239 860,50.73,49.27,Pantura Barat
Kota Tegal,2008,240 502,50.01,49.99,Pantura Barat
Kota Tegal,2009,241 070,49.31,50.69,Pantura Barat
Kota Tegal,2010,240 005,47.26,52.74,Pantura Barat
Kota Tegal,2011,241 326,52.85,47.15,Pantura Barat
Kota Tegal,2012,242 714,50.4,49.6,Pantura Barat
Kota Tegal,2013,243 901,54.77,45.23,Pantura Barat
Kota Tegal,2014,244 978,55.55,44.45,Pantura Barat
Kota Tegal,2015,246 119,60.43,39.57,Pantura Barat
Kota Tegal,2016,247 212,57,43,Pantura Barat
Kota Tegal,2017,248 094,56.08,43.92,Pantura Barat
