Kecamatan,Tahun,Penduduk,Total,Group
Margasari,1988,83555,1157668,Margasari
Margasari,1989,84483,1171330,Margasari
Margasari,1990,86716,1239203,Margasari
Margasari,1991,87636,1252251,Margasari
Margasari,1992,88566,1265549,Margasari
Margasari,1993,88741,1266234,Margasari
Margasari,1994,89300,1272912,Margasari
Margasari,1995,89779,1280923,Margasari
Margasari,1996,89900,1312686,Margasari
Margasari,1997,90012,1326268,Margasari
Margasari,1998,90194,1328831,Margasari
Margasari,1999,90153,1335856,Margasari
Margasari,2000,95947,1382435,Margasari
Margasari,2001,96188,1388811,Margasari
Margasari,2002,96429,1395216,Margasari
Margasari,2003,96670,1401651,Margasari
Margasari,2004,96913,1408116,Margasari
Margasari,2005,97156,1414610,Margasari
Margasari,2006,103011,1476299,Margasari
Margasari,2007,102911,1492548,Margasari
Margasari,2008,103145,1495944,Margasari
Margasari,2009,94297,1390539,Margasari
Margasari,2010,94534,1396982,Margasari
Margasari,2011,94771,1403425,Margasari
Margasari,2012,94975,1409406,Margasari
Margasari,2013,95150,1415009,Margasari
Margasari,2014,95291,1420132,Margasari
Margasari,2015,95405,1424890,Margasari
Margasari,2016,95499,1429371,Margasari
Margasari,2017,95560,1433392,Margasari
Margasari,2018,95623,1437461,Margasari
Margasari,2019,95627,1440671,Margasari
Bumijawa,1988,64646,1157668,Bumijawa
Bumijawa,1989,64835,1171330,Bumijawa
Bumijawa,1990,70448,1239203,Bumijawa
Bumijawa,1991,70665,1252251,Bumijawa
Bumijawa,1992,70883,1265549,Bumijawa
Bumijawa,1993,70958,1266234,Bumijawa
Bumijawa,1994,71044,1272912,Bumijawa
Bumijawa,1995,71075,1280923,Bumijawa
Bumijawa,1996,72337,1312686,Bumijawa
Bumijawa,1997,74490,1326268,Bumijawa
Bumijawa,1998,75515,1328831,Bumijawa
Bumijawa,1999,75789,1335856,Bumijawa
Bumijawa,2000,84060,1382435,Bumijawa
Bumijawa,2001,84271,1388811,Bumijawa
Bumijawa,2002,84482,1395216,Bumijawa
Bumijawa,2003,84694,1401651,Bumijawa
Bumijawa,2004,84906,1408116,Bumijawa
Bumijawa,2005,85119,1414610,Bumijawa
Bumijawa,2006,87849,1476299,Bumijawa
Bumijawa,2007,95054,1492548,Bumijawa
Bumijawa,2008,95270,1495944,Bumijawa
Bumijawa,2009,83190,1390539,Bumijawa
Bumijawa,2010,83399,1396982,Bumijawa
Bumijawa,2011,83608,1403425,Bumijawa
Bumijawa,2012,83787,1409406,Bumijawa
Bumijawa,2013,83943,1415009,Bumijawa
Bumijawa,2014,84067,1420132,Bumijawa
Bumijawa,2015,84167,1424890,Bumijawa
Bumijawa,2016,84250,1429371,Bumijawa
Bumijawa,2017,84305,1433392,Bumijawa
Bumijawa,2018,84360,1437461,Bumijawa
Bumijawa,2019,84363,1440671,Bumijawa
Bojong,1988,49190,1157668,Bojong
Bojong,1989,49861,1171330,Bojong
Bojong,1990,53264,1239203,Bojong
Bojong,1991,54247,1252251,Bojong
Bojong,1992,55248,1265549,Bojong
Bojong,1993,55651,1266234,Bojong
Bojong,1994,56015,1272912,Bojong
Bojong,1995,56261,1280923,Bojong
Bojong,1996,56363,1312686,Bojong
Bojong,1997,56533,1326268,Bojong
Bojong,1998,56705,1328831,Bojong
Bojong,1999,56996,1335856,Bojong
Bojong,2000,63366,1382435,Bojong
Bojong,2001,63525,1388811,Bojong
Bojong,2002,63685,1395216,Bojong
Bojong,2003,63845,1401651,Bojong
Bojong,2004,64005,1408116,Bojong
Bojong,2005,64166,1414610,Bojong
Bojong,2006,68177,1476299,Bojong
Bojong,2007,71504,1492548,Bojong
Bojong,2008,71667,1495944,Bojong
Bojong,2009,61124,1390539,Bojong
Bojong,2010,61278,1396982,Bojong
Bojong,2011,61432,1403425,Bojong
Bojong,2012,61563,1409406,Bojong
Bojong,2013,61675,1415009,Bojong
Bojong,2014,61769,1420132,Bojong
Bojong,2015,61842,1424890,Bojong
Bojong,2016,61904,1429371,Bojong
Bojong,2017,61942,1433392,Bojong
Bojong,2018,61984,1437461,Bojong
Bojong,2019,61986,1440671,Bojong
Balapulang,1988,69494,1157668,Balapulang
Balapulang,1989,70370,1171330,Balapulang
Balapulang,1990,74714,1239203,Balapulang
Balapulang,1991,75818,1252251,Balapulang
Balapulang,1992,76938,1265549,Balapulang
Balapulang,1993,76392,1266234,Balapulang
Balapulang,1994,76685,1272912,Balapulang
Balapulang,1995,76844,1280923,Balapulang
Balapulang,1996,76941,1312686,Balapulang
Balapulang,1997,76958,1326268,Balapulang
Balapulang,1998,76834,1328831,Balapulang
Balapulang,1999,77309,1335856,Balapulang
Balapulang,2000,83440,1382435,Balapulang
Balapulang,2001,83649,1388811,Balapulang
Balapulang,2002,83859,1395216,Balapulang
Balapulang,2003,84069,1401651,Balapulang
Balapulang,2004,84280,1408116,Balapulang
Balapulang,2005,84491,1414610,Balapulang
Balapulang,2006,88033,1476299,Balapulang
Balapulang,2007,90080,1492548,Balapulang
Balapulang,2008,90285,1495944,Balapulang
Balapulang,2009,80754,1390539,Balapulang
Balapulang,2010,80957,1396982,Balapulang
Balapulang,2011,81160,1403425,Balapulang
Balapulang,2012,81335,1409406,Balapulang
Balapulang,2013,81485,1415009,Balapulang
Balapulang,2014,81606,1420132,Balapulang
Balapulang,2015,81705,1424890,Balapulang
Balapulang,2016,81784,1429371,Balapulang
Balapulang,2017,81838,1433392,Balapulang
Balapulang,2018,81891,1437461,Balapulang
Balapulang,2019,81894,1440671,Balapulang
Pagerbarang,1988,46817,1157668,Pagerbarang
Pagerbarang,1989,47288,1171330,Pagerbarang
Pagerbarang,1990,49227,1239203,Pagerbarang
Pagerbarang,1991,51249,1252251,Pagerbarang
Pagerbarang,1992,53354,1265549,Pagerbarang
Pagerbarang,1993,51338,1266234,Pagerbarang
Pagerbarang,1994,51676,1272912,Pagerbarang
Pagerbarang,1995,53737,1280923,Pagerbarang
Pagerbarang,1996,55601,1312686,Pagerbarang
Pagerbarang,1997,55763,1326268,Pagerbarang
Pagerbarang,1998,55893,1328831,Pagerbarang
Pagerbarang,1999,55851,1335856,Pagerbarang
Pagerbarang,2000,55488,1382435,Pagerbarang
Pagerbarang,2001,55627,1388811,Pagerbarang
Pagerbarang,2002,55766,1395216,Pagerbarang
Pagerbarang,2003,55905,1401651,Pagerbarang
Pagerbarang,2004,56045,1408116,Pagerbarang
Pagerbarang,2005,56185,1414610,Pagerbarang
Pagerbarang,2006,59401,1476299,Pagerbarang
Pagerbarang,2007,60294,1492548,Pagerbarang
Pagerbarang,2008,60432,1495944,Pagerbarang
Pagerbarang,2009,51872,1390539,Pagerbarang
Pagerbarang,2010,52002,1396982,Pagerbarang
Pagerbarang,2011,52132,1403425,Pagerbarang
Pagerbarang,2012,52244,1409406,Pagerbarang
Pagerbarang,2013,52341,1415009,Pagerbarang
Pagerbarang,2014,52418,1420132,Pagerbarang
Pagerbarang,2015,52481,1424890,Pagerbarang
Pagerbarang,2016,52533,1429371,Pagerbarang
Pagerbarang,2017,52567,1433392,Pagerbarang
Pagerbarang,2018,52601,1437461,Pagerbarang
Pagerbarang,2019,52603,1440671,Pagerbarang
Lebaksiu,1988,73635,1157668,Lebaksiu
Lebaksiu,1989,74380,1171330,Lebaksiu
Lebaksiu,1990,77998,1239203,Lebaksiu
Lebaksiu,1991,78096,1252251,Lebaksiu
Lebaksiu,1992,78194,1265549,Lebaksiu
Lebaksiu,1993,79494,1266234,Lebaksiu
Lebaksiu,1994,79793,1272912,Lebaksiu
Lebaksiu,1995,79840,1280923,Lebaksiu
Lebaksiu,1996,79678,1312686,Lebaksiu
Lebaksiu,1997,79344,1326268,Lebaksiu
Lebaksiu,1998,79288,1328831,Lebaksiu
Lebaksiu,1999,79460,1335856,Lebaksiu
Lebaksiu,2000,84132,1382435,Lebaksiu
Lebaksiu,2001,84344,1388811,Lebaksiu
Lebaksiu,2002,84557,1395216,Lebaksiu
Lebaksiu,2003,84770,1401651,Lebaksiu
Lebaksiu,2004,84983,1408116,Lebaksiu
Lebaksiu,2005,85197,1414610,Lebaksiu
Lebaksiu,2006,86016,1476299,Lebaksiu
Lebaksiu,2007,88645,1492548,Lebaksiu
Lebaksiu,2008,88843,1495944,Lebaksiu
Lebaksiu,2009,82737,1390539,Lebaksiu
Lebaksiu,2010,82946,1396982,Lebaksiu
Lebaksiu,2011,83155,1403425,Lebaksiu
Lebaksiu,2012,83333,1409406,Lebaksiu
Lebaksiu,2013,83487,1415009,Lebaksiu
Lebaksiu,2014,83611,1420132,Lebaksiu
Lebaksiu,2015,83711,1424890,Lebaksiu
Lebaksiu,2016,83793,1429371,Lebaksiu
Lebaksiu,2017,83847,1433392,Lebaksiu
Lebaksiu,2018,83903,1437461,Lebaksiu
Lebaksiu,2019,83905,1440671,Lebaksiu
Jatinegara,1988,47310,1157668,Jatinegara
Jatinegara,1989,49098,1171330,Jatinegara
Jatinegara,1990,50002,1239203,Jatinegara
Jatinegara,1991,51684,1252251,Jatinegara
Jatinegara,1992,53423,1265549,Jatinegara
Jatinegara,1993,52155,1266234,Jatinegara
Jatinegara,1994,52264,1272912,Jatinegara
Jatinegara,1995,53874,1280923,Jatinegara
Jatinegara,1996,54039,1312686,Jatinegara
Jatinegara,1997,54096,1326268,Jatinegara
Jatinegara,1998,54237,1328831,Jatinegara
Jatinegara,1999,54385,1335856,Jatinegara
Jatinegara,2000,56060,1382435,Jatinegara
Jatinegara,2001,56202,1388811,Jatinegara
Jatinegara,2002,56343,1395216,Jatinegara
Jatinegara,2003,56486,1401651,Jatinegara
Jatinegara,2004,56628,1408116,Jatinegara
Jatinegara,2005,56771,1414610,Jatinegara
Jatinegara,2006,58541,1476299,Jatinegara
Jatinegara,2007,60687,1492548,Jatinegara
Jatinegara,2008,60826,1495944,Jatinegara
Jatinegara,2009,53349,1390539,Jatinegara
Jatinegara,2010,53484,1396982,Jatinegara
Jatinegara,2011,53619,1403425,Jatinegara
Jatinegara,2012,53733,1409406,Jatinegara
Jatinegara,2013,53833,1415009,Jatinegara
Jatinegara,2014,53912,1420132,Jatinegara
Jatinegara,2015,53977,1424890,Jatinegara
Jatinegara,2016,54030,1429371,Jatinegara
Jatinegara,2017,54065,1433392,Jatinegara
Jatinegara,2018,54100,1437461,Jatinegara
Jatinegara,2019,54102,1440671,Jatinegara
Kedungbanteng,1988,34198,1157668,Kedungbanteng
Kedungbanteng,1989,34554,1171330,Kedungbanteng
Kedungbanteng,1990,36338,1239203,Kedungbanteng
Kedungbanteng,1991,36695,1252251,Kedungbanteng
Kedungbanteng,1992,37056,1265549,Kedungbanteng
Kedungbanteng,1993,37053,1266234,Kedungbanteng
Kedungbanteng,1994,37244,1272912,Kedungbanteng
Kedungbanteng,1995,37362,1280923,Kedungbanteng
Kedungbanteng,1996,40002,1312686,Kedungbanteng
