Wilayah Kecamatan,Jumlah Penduduk Menurut Jenis Kelamin 1988 - 2020 (Jiwa),,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2008,2007,2006,2000,1999,1998,1997,1996,1995,1994,1993,1991,1990,1989,1988
Kab. Tegal,1443780,1440671,1437461,1433392,1429371,1424890,1420132,1415009,1409406,1403425,1396982,1495944,1492548,1476299,1382435,1335856,1328831,1326268,1312686,1280923,1272912,1266234,1252251,1239203,1171330,1157668
Margasari,95623,95627,95623,95560,95499,95405,95291,95150,94975,94771,94534,103145,102911,103011,95947,90153,90194,90012,89900,89779,89300,88741,87636,86716,84483,83555
Bumijawa,84358,84363,84360,84305,84250,84167,84067,83943,83787,83608,83399,95270,95054,87849,84060,75789,75515,74490,72337,71075,71044,70958,70665,70448,64835,64646
Bojong,61982,61986,61984,61942,61904,61842,61769,61675,61563,61432,61278,71667,71504,68177,63366,56996,56705,56533,56363,56261,56015,55651,54247,53264,49861,49190
Balapulang,81890,81894,81891,81838,81784,81705,81606,81485,81335,81160,80957,90285,90080,88033,83440,77309,76834,76958,76941,76844,76685,76392,75818,74714,70370,69494
Pagerbarang,52601,52603,52601,52567,52533,52481,52418,52341,52244,52132,52002,60432,60294,59401,55488,55851,55893,55763,55601,53737,51676,51338,51249,49227,47288,46817
Lebaksiu,83902,83905,83903,83847,83793,83711,83611,83487,83333,83155,82946,88843,88645,86016,84132,79460,79288,79344,79678,79840,79793,79494,78096,77998,74380,73635
Jatinegara,54100,54102,54100,54065,54030,53977,53912,53833,53733,53619,53484,60826,60687,58541,56060,54385,54237,54096,54039,53874,52264,52155,51684,50002,49098,47310
Kedungbanteng,40413,40415,40414,40387,40362,40322,40274,40214,40140,40053,39954,42981,42883,43402,39951,40430,40276,40169,40002,37362,37244,37053,36695,36338,34554,34198
Pangkah,102096,101884,101663,101379,101100,100784,100448,100086,99688,99263,98803,101397,101167,102961,95577,94956,94633,94262,91167,90865,90474,90096,88850,88029,83591,82671
Slawi,73948,73512,73072,72590,72112,71612,71102,70574,70025,69460,68874,68025,67871,67301,64121,62118,62089,62086,62211,58910,59272,59310,59258,59057,56405,56191
Dukuhwaru,60533,60357,60178,59961,59746,59513,59267,59006,58724,58426,58109,58815,58682,60313,55758,55564,55315,55007,54602,54039,52775,52590,52250,51777,50836,49717
Adiwerna,119673,119679,119675,119596,119520,119403,119259,119083,118863,118608,118312,125205,124920,125906,117516,115389,115221,114907,114628,110025,109412,109142,108211,107579,99767,99003
Dukuhturi,88970,88974,88969,88913,88856,88768,88663,88530,88367,88179,87959,98286,98063,96782,93547,88883,88545,88260,88161,86339,88252,87847,87520,87361,81192,80276
Talang,105514,104711,103905,103042,102187,101304,100407,99490,98546,97582,96592,96328,96111,94934,88388,85594,84654,83834,81591,78564,78967,78863,78450,78335,72743,72058
Tarub,79556,79292,79022,78706,78392,78052,77695,77320,76918,76495,76047,78367,78189,77300,72663,73052,72384,75033,71381,68286,68308,67128,65998,65370,61998,61256
Kramat,116796,115534,114274,112959,111660,110339,109009,107666,106300,104919,103521,103368,103131,98296,91716,88141,87257,86831,86053,82817,80901,79811,78527,77483,72940,71881
Suradadi,81571,81576,81573,81519,81467,81387,81289,81169,81019,80846,80643,86345,86148,93010,80615,82127,81367,80882,80432,77677,77215,76507,74548,73243,69403,68525
Warureja,60254,60257,60254,60216,60176,60118,60045,59957,59846,59717,59568,66359,66208,65066,60090,59659,58424,57801,57599,54629,53315,53158,52549,52262,47586,47245
